                                               filename   slit    nx    ny    nz   int  odcid     x1     x2     y1     y2                name
                                   EUV2001_093_09_05_28      2  1024    64    29    60     94      0   1023      0     63             alp vir
                                   EUV2001_093_16_52_33      2  1024    64    99    36     95      0   1023      0     63             alp vir
                                   EUV2001_148_09_22_29      2     1    64   600     1     35      0   1023      0     63             eps cma
                                   EUV2001_148_09_33_48      2  1024    64    30    60     36      0   1023      0     63             eps cma
                                   EUV2001_148_10_04_41      2  1024    64    30    60    110      0   1023      0     63             eps cma
                                   EUV2001_148_10_34_32      2  1024     1   600     1     37      0   1023      0     63             eps cma
                                   EUV2001_148_10_44_54      1     1    64   302     1     38      0   1023      0     63             eps cma
                                   EUV2001_148_10_50_13      1  1024     1   302     1     39      0   1023      0     63             eps cma
                                   EUV2001_148_10_55_36      0     1    64   302     1     40      0   1023      0     63             eps cma
                                   EUV2001_148_11_00_55      0  1024     1   302     1     41      0   1023      0     63             eps cma
                                   EUV2001_299_19_41_34      2  1024    64    29    60     93      0   1023      0     63             alp vir
                                   EUV2001_299_20_11_33      2  1024    64    29    60     94      0   1023      0     63             alp vir
                                 EUV2001_299_20_44_21_0      1  1024    32   233    30     98      0   1023     32     63             alp vir
                                 EUV2001_299_20_44_21_1      1     8     1   233    30     98      0   1023      0     31             alp vir
                                 EUV2001_299_22_41_51_1      1     8     1   234    30     97      0   1023      0     15             alp vir
                                 EUV2001_299_22_41_51_0      1  1024    32   234    30     97      0   1023     16     47             alp vir
                                 EUV2001_299_22_41_51_2      1     8     1   234    30     97      0   1023     48     63             alp vir
                                 EUV2001_300_00_39_20_1      1     8     1   233    30     96      0   1023     32     63             alp vir
                                 EUV2001_300_00_39_20_0      1  1024    32   233    30     96      0   1023      0     31             alp vir
      EUV2002_005_11_30_43_UVIS_C29RA_ALPHACMA001_PRIME      2     1    64   600     1     35      0   1023      0     63             alp cma
      EUV2002_005_11_42_00_UVIS_C29RA_ALPHACMA001_PRIME      2  1024    64    30    60     36      0   1023      0     63             alp cma
